iter	Passed	Remaining
626	5332	3172
627	5340	3163
628	5345	3152
629	5351	3143
630	5354	3131
631	5357	3119
632	5359	3107
633	5362	3095
634	5365	3083
635	5367	3072
636	5370	3060
637	5373	3048
638	5375	3036
639	5378	3025
640	5381	3013
641	5383	3002
642	5386	2990
643	5389	2979
644	5392	2967
645	5394	2956
646	5397	2944
647	5400	2933
648	5403	2922
649	5406	2910
650	5408	2899
651	5411	2888
652	5413	2876
653	5416	2865
654	5418	2853
655	5420	2842
656	5423	2831
657	5426	2820
658	5428	2809
659	5431	2798
660	5434	2786
661	5436	2775
662	5439	2764
663	5441	2753
664	5444	2742
665	5447	2731
666	5450	2721
667	5453	2710
668	5456	2699
669	5458	2688
670	5461	2677
671	5463	2666
672	5465	2655
673	5468	2645
674	5471	2634
675	5473	2623
676	5476	2612
677	5478	2602
678	5481	2591
679	5483	2580
680	5486	2569
681	5488	2559
682	5490	2548
683	5493	2537
684	5495	2527
685	5498	2516
686	5501	2506
687	5503	2495
688	5506	2485
689	5508	2474
690	5511	2464
691	5514	2454
692	5516	2443
693	5519	2433
694	5521	2423
695	5525	2413
696	5527	2402
697	5529	2392
698	5532	2382
699	5534	2371
700	5536	2361
701	5539	2351
702	5541	2341
703	5544	2331
704	5547	2321
705	5550	2311
706	5552	2301
707	5555	2291
708	5558	2281
709	5560	2271
710	5563	2261
711	5565	2251
712	5568	2241
713	5570	2231
714	5573	2221
715	5575	2211
716	5578	2201
717	5580	2191
718	5583	2182
719	5586	2172
720	5588	2162
721	5591	2152
722	5593	2143
723	5606	2137
724	5608	2127
725	5611	2117
726	5634	2115
727	5637	2106
728	5639	2096
729	5642	2086
730	5644	2077
731	5646	2067
732	5663	2062
733	5670	2055
734	5673	2045
735	5676	2036
736	5678	2026
737	5712	2027
738	5716	2018
739	5718	2009
740	5732	2003
741	5735	1994
742	5738	1984
743	5750	1978
744	5753	1969
745	5755	1959
746	5760	1951
747	5763	1941
748	5766	1932
749	5768	1922
750	5771	1913
751	5774	1904
752	5776	1894
753	5780	1886
754	5784	1876
755	5789	1868
756	5792	1859
757	5795	1850
758	5799	1841
759	5802	1832
760	5804	1823
761	5807	1813
762	5810	1804
763	5813	1795
764	5816	1786
765	5820	1777
766	5826	1769
767	5830	1761
768	5834	1752
769	5837	1743
770	5839	1734
771	5842	1725
772	5845	1716
773	5848	1707
774	5862	1701
775	5906	1705
776	5913	1697
777	5918	1688
778	6016	1706
779	6021	1698
780	6024	1689
781	6028	1680
782	6057	1678
783	6079	1675
784	6086	1666
785	6133	1669
786	6139	1661
787	6147	1653
788	6150	1644
789	6153	1635
790	6156	1626
791	6158	1617
792	6161	1608
793	6164	1599
794	6207	1600
795	6213	1592
796	6231	1587
797	6233	1578
798	6236	1568
799	6239	1559
800	6242	1550
801	6290	1553
802	6300	1545
803	6305	1537
804	6308	1528
805	6331	1523
806	6357	1520
807	6360	1511
808	6363	1502
809	6366	1493
810	6406	1493
811	6414	1485
812	6438	1480
813	6441	1471
814	6455	1465
815	6457	1456
816	6460	1447
817	6463	1438
818	6466	1429
819	6508	1428
820	6513	1420
821	6516	1411
822	6519	1402
823	6522	1393
824	6566	1392
825	6569	1383
826	6571	1374
827	6574	1365
828	6577	1356
829	6580	1347
830	6583	1338
831	6585	1329
832	6616	1326
833	6625	1318
834	6628	1309
835	6631	1300
836	6634	1291
837	6636	1283
838	6685	1282
839	6694	1275
840	6697	1266
841	6700	1257
842	6715	1250
843	6747	1247
844	6755	1239
845	6758	1230
846	6760	1221
847	6766	1212
848	6776	1205
849	6810	1201
850	6816	1193
851	6825	1185
852	6880	1185
853	6887	1177
854	6890	1168
855	6893	1159
856	6896	1150
857	6902	1142
858	6950	1140
859	6961	1133
860	6966	1124
861	6969	1115
862	6971	1106
863	6974	1097
864	6977	1088
865	6980	1080
866	7030	1078
867	7033	1069
868	7036	1060
869	7039	1051
870	7042	1043
871	7078	1039
872	7081	1030
873	7084	1021
874	7090	1012
875	7098	1004
876	7104	996
877	7106	987
878	7109	978
879	7112	969
880	7145	965
881	7150	956
882	7155	948
883	7177	941
884	7194	934
885	7210	927
886	7213	918
887	7243	913
888	7257	906
889	7260	897
890	7263	888
891	7265	879
892	7280	872
893	7313	867
894	7316	858
895	7319	849
896	7335	842
897	7342	834
898	7356	826
899	7360	817
900	7363	809
901	7383	802
902	7389	793
903	7403	786
904	7411	777
905	7414	769
906	7420	760
907	7447	754
908	7459	746
909	7510	742
910	7515	734
911	7518	725
912	7526	717
913	7565	711
914	7568	703
915	7591	696
916	7597	687
917	7602	679
918	7605	670
919	7607	661
920	7626	654
921	7630	645
922	7633	636
923	7636	628
924	7638	619
925	7641	610
926	7679	604
927	7682	596
928	7685	587
929	7721	581
930	7726	572
931	7731	564
932	7740	555
933	7743	547
934	7746	538
935	7782	532
936	7789	523
937	7806	516
938	7809	507
939	7812	498
940	7839	491
941	7846	483
942	7869	475
943	7906	469
944	7909	460
945	7912	451
946	7926	443
947	7929	434
948	7932	426
949	7954	418
950	7961	410
951	7965	401
952	7968	392
953	7971	384
954	7985	376
955	7996	368
956	8018	360
957	8021	351
958	8035	343
959	8038	334
960	8041	326
961	8044	317
962	8066	309
963	8074	301
964	8077	292
965	8080	284
966	8083	275
967	8086	267
968	8128	260
969	8131	251
970	8134	242
971	8148	234
972	8172	226
973	8180	218
974	8197	210
975	8200	201
976	8219	193
977	8232	185
978	8238	176
979	8252	168
980	8259	159
981	8295	152
982	8298	143
983	8318	135
984	8334	126
985	8337	118
986	8339	109
987	8357	101
988	8360	92
989	8363	84
990	8366	75
991	8379	67
992	8401	59
993	8404	50
994	8407	42
995	8435	33
996	8442	25
997	8446	16
998	8449	8
999	8475	0
